STATNAME,FEMALE_LIT,MALE_LIT
JAMMU & KASHMIR,58.01,78.26
HIMACHAL PRADESH,76.6,90.83
PUNJAB,71.34,81.48
CHANDIGARH,81.38,90.54
UTTARAKHAND,70.7,88.33
HARYANA,66.77,85.38
DELHI,80.93,91.03
RAJASTHAN,52.66,80.51
UTTAR PRADESH,59.26,79.24
BIHAR,53.33,73.39
SIKKIM,76.43,87.29
ARUNACHAL PRADESH,59.57,73.69
NAGALAND,76.69,83.29
MANIPUR,73.17,86.49
MIZORAM,89.4,93.72
TRIPURA,83.15,92.18
MEGHALAYA,73.78,77.17
ASSAM,67.27,78.81
WEST BENGAL,71.16,82.67
JHARKHAND,56.21,78.45
ODISHA,64.36,82.4
CHHATTISGARH,60.59,81.45
MADHYA PRADESH,60.02,80.53
GUJARAT,70.73,87.23
DAMAN & DIU,79.59,91.48
DADRA & NAGAR HAVELI,65.93,86.46
MAHARASHTRA,75.48,89.82
ANDHRA PRADESH,59.74,75.56
KARNATAKA,68.13,82.85
GOA,81.84,92.81
LAKSHADWEEP,88.25,96.11
KERALA,91.98,96.02
TAMIL NADU,73.86,86.81
PUDUCHERRY,81.22,92.12
A & N ISLANDS,81.84,90.11
TELANGANA,57.92,74.95
